appid,name
1295660,席德·梅尔的文明VII
1142710,全面战争：战锤3
1677280,Company of Heroes 3
2688950,过山车之星2
529340,Victoria 3
1601580,冰汽时代2
949230,Cities: Skylines II
436150,Governor_of_Poker_3
578080,PUBG: BATTLEGROUNDS
2246340,Monster Hunter Wilds
1172470,Apex Legends
2878980,NBA 2K25
2507950,三角洲行动
2669320,EA SPORTS FC™ 25
1501750,Lords of the Fallen 堕落之主
2933620,Call of Duty®: Black Ops 6
2622000,星引擎 Party
2440510,Forza Motorsport 极限竞速
2074920,The First Descendant
1240440,Halo Infinite
872410,三国志14
1272080,PAYDAY3 (收获日3)
2437170,神之浩劫2
1903340,光与影：33号远征队
281990,Stellaris
1774580,星球大战 绝地：幸存者
2344520,暗黑破坏神® IV
2399830,方舟: 生存飞升
1971650,歧路旅人 II
962130,Grounded
1371980,恶意不息
